word,frequency
navidad,14067097
para,3388758
navide,3239624
reyes,2098983
magos,1911268
esta,1514786
youtube,1421840
navidades,1378501
nochebuena,1188283
como,1089672
este,957576
pero,938828
nochevieja,870032
estas,703656
familia,685725
noel,648409
regalo,604712
todo,603475
cuando,574690
papa,572299
video,546582
regalos,543101
casa,524875
sorteo,517325
noche,513587
iphone,496289
todos,493220
cena,487028
porque,480281
hasta,431992
gustado,430684
venezuela,430537
solo,423197
pasar,416047
parte,414863
desde,414113
ahora,405718
mensaje,401366
nada,368571
christmas,352324
antes,345620
premios,333055
hace,320644
esto,314969
estoy,310563
mega,307871
madrid,303619
fiestas,298364
rbol,291589
durante,288993
despu,288752
diciembre,287865
hacer,287626
espa,276665
tambi,273997
mara,270635
siempre,270073
santa,266800
tengo,265960
foto,263502
cada,261963
menos,257837
estos,254970
tiene,250018
estar,248014
fotos,243561
feliznavidadmariale,243248
sorteazo,242354
kxpy,239962
sobre,239712
tiempo,238990
gente,238607
donde,234137
personas,229699
mundo,228132
ritu,222556
primera,220042
toda,213166
feliznavidad,212115
todas,210611
apple,209996
fiesta,208025
nunca,206400
nuestra,198737
celebrar,197076
comida,197004
nuestro,195254
gust,194979
cabalgata,193276
cholloterapia,191593
esmuybarato,191432
cazandogangas,191021
juguetes,189364
felices,186875
pues,182612
algo,181659
otra,179922
mucho,179692
vida,179027
quiero,178762
enero,177743
cosas,177396
puede,176202
celebra,176175
vieja,175898
tres,175015
entre,174930
semana,174347
estamos,174141
unos,169194
horas,169083
cuenta,168700
dios,165728
tras,164312
unas,162063
mismo,159180
pasado,157164
amor,156241
pasa,155246
tener,154257
otro,152656
igual,151880
vacaciones,150407
venezolanos,149659
creo,148948
hora,147887
casi,147585
pueblo,145195
millones,145158
comer,144419
verdad,144240
regalar,144097
tanto,143417
whatsapp,143075
real,142451
vamos,142288
nadie,141139
todav,140048
lista,138144
junto,137472
madre,137457
tienen,135891
presidente,135784
carta,135680
quer,133631
historia,133296
llega,133184
noticias,132943
pueden,132591
quien,131840
nuestros,131814
alguien,131345
mierda,130408
paso,129883
nicolasmaduro,129604
viene,128214
sica,127471
ayer,126902
luces,126434
dice,126387
mira,126147
tenemos,125723
puedo,125660
tarde,125095
puedes,124349
mientras,123456
podr,123372
muchos,123045
maduro,122672
entradas,122616
ciudad,122106
estaba,121845
nico,121137
ella,120421
tienes,119977
hijos,118866
lleg,118352
mesa,117157
nica,116856
sabes,116481
peque,115408
poco,113243
hola,113120
polic,112881
xico,112863
alegr,112504
nosotros,112218
jajaja,112216
parece,111749
familias,111389
estado,110641
triste,109956
momento,108701
primer,107644
extra,107535
aunque,106636
spera,105911
compras,105471
tradici,104883
pernil,104472
luego,104311
tica,104126
luis,103599
queridos,103368
queda,102599
hijo,102326
ticos,102306
garamond,101770
concierto,101581
domingo,101025
centro,101003
poca,100799
espero,100436
campa,100029
calle,98360
sido,98065
pedir,98041
favor,97712
regala,97504
merry,97489
trump,97322
decir,97066
llegar,97028
gobierno,96786
esperando,96716
dejar,96288
salir,95365
ltima,95275
comprar,95015
jajajaja,94888
hecho,94719
juntos,94678
pido,94300
loter,93974
sigue,93383
ahre,92379
visto,92298
arbolito,91934
ellos,91863
juan,91770
viernes,90852
amigos,90549
gasolina,90478
quiere,90330
bado,89149
libre,88716
eres,87427
oficial,87279
gratis,87113
presos,86670
ojal,86167
llegan,85700
deber,85415
fechas,85063
recibir,84957
directo,84506
viendo,83894
plena,83285
ltimas,82997
plaza,82911
quieres,82826
clap,82671
fueron,82668
poner,82128
caracas,81779
haciendo,81056
cuento,80803
seguro,80766
coraz,80567
familiar,80350
francisco,79865
hizo,79365
culas,79331
ustedes,79166
twitter,79143
venta,79124
celebran,79096
barcelona,79074
ltimo,78775
rico,78632
poder,78572
esos,78400
reproducci,78342
habr,78030
hemos,77651
eran,77621
ilusi,77360
vienen,76978
pasando,76832
puta,76257
sentido,75956
info,75845
vuelve,75797
oriente,75624
pasan,75466
disfrutar,75232
felicitaci,75195
culo,75176
tendr,75108
sico,75080
dijo,75062
familiares,74972
algunos,74694
volver,74139
celebraci,74134
trav,74066
temporada,74034
medio,73785
claus,73745
grinch,73598
fuera,73596
cara,73367
otros,73208
bono,73088
tradiciones,72601
llegada,72343
lugar,72318
mensajes,72256
merrychristmas,72197
this,71874
libros,71472
blanca,71454
alberto,71420
cula,71232
tradicional,71002
nacimiento,70950
lado,70932
ganas,70922
pide,70877
canci,70871
vaya,70709
deja,70355
seguridad,70288
padre,70195
otdirecto,69877
cinco,69614
pasaron,69568
milagro,69537
haber,69463
saludo,69366
salud,69158
saber,68776
reyesmagos,68449
argentina,68214
love,68192
entrega,68174
vivo,68112
siento,68021
deseo,67942
recetas,67908
final,67369
esas,67340
quieren,67287
debe,67173
magia,67106
llego,67037
padres,66995
dulce,66794
tweet,66752
vino,66700
gala,66620
consejos,66468
tico,66439
compa,66423
nuestras,66179
plan,65985
jaja,65861
nacional,65809
somos,65666
hacen,65545
sabe,65413
acompa,65411
hombre,65324
videos,65322
barra,65294
visita,64612
acabo,64453
misa,64356
odio,64204
dormir,64071
seguir,63834
pobre,63482
pleno,63380
mayor,62957
hospital,62947
ideas,62338
calles,62013
grupo,61528
ropa,61455
contra,61284
claro,61251
digo,61221
disfruta,61097
celebrando,61063
trabajo,60882
redes,60720
forma,60566
cosa,60396
tipo,59987
cuatro,59946
agua,59547
cenas,59327
hermosa,59263
canciones,59244
vive,59225
participar,59214
veces,59102
realidad,58950
regalito,58794
linda,58756
internacional,58725
mujer,58596
programa,58450
compartir,58347
discurso,58292
receta,58253
gordo,58132
nieve,58094
amos,57996
acuerdo,57942
villancicos,57870
sino,57835
toca,57662
adido,57391
xmas,57387
dicen,57358
pierdas,57336
pedido,57107
entonces,56842
felipe,56819
mucha,56755
seguimos,56703
teamhdp,56639
recuerda,56477
speras,56463
transporte,56402
colombia,56390
lunes,56320
sola,56263
barrio,56221
persona,55984
siendo,55844
dias,55726
meses,55533
efectivo,55471
retweeted,55261
pase,55230
leer,55107
llegaron,55058
torneo,54915
estados,54870
organizado,54755
existe,54595
participo,54479
creer,54386
post,54304
bajo,53859
puerto,53806
ning,53616
tampoco,53499
ximo,53385
quedes,53290
especial,53030
caja,52929
messi,52678
cualquier,52658
sevilla,52596
lleva,52558
faltan,52491
rboles,52475
alguna,52432
sigo,52050
radio,51982
usted,51957
canal,51925
misma,51703
minutos,51594
family,51580
podemos,51564
gica,51536
saludos,51520
llegado,51376
libertad,51272
espera,51191
vale,51190
abuela,51151
vivir,50845
queremos,50738
origen,50565
justo,50554
pareja,50467
port,50358
evitar,50276
happy,50199
horario,50128
adem,49895
