word,frequency
navidad,21463834
feliz,13265435
para,5752800
noche,3287054
buena,3108883
todos,3015931
gracias,1969571
mejor,1960935
esta,1861352
nuevo,1722969
familia,1720456
navideño,1676614
regalo,1546651
reyes,1423750
este,1287475
magos,1208853
todo,1199314
pero,1144659
como,1141596
quiero,1091911
bien,1089085
amor,946958
nochebuena,937141
regalos,906003
especial,895065
deseo,868192
navidades,867776
youtube,844824
espero,783449
amigos,777261
mejores,737534
desde,728889
siempre,682005
gran,664181
dios,647997
mucho,646920
christmas,646514
estas,629336
desea,617214
fiestas,608838
muchas,596969
buenos,550633
vida,546345
abrazo,540226
porque,539204
felices,534674
bueno,534344
toda,531079
queridos,513718
deseamos,500226
tambi,470576
merry,467481
nochevieja,458845
gente,446934
casa,445141
buen,442270
hermosa,436859
deseos,424882
muchos,423542
estoy,419119
noel,410842
cuando,407534
pasar,392201
gustado,387232
cada,381617
seres,381456
bendiciones,379331
mundo,369070
ahora,368246
tengo,366939
cena,365208
video,362934
nuestros,360595
nuestro,360424
hacer,353286
todas,353006
estar,351630
spero,345251
hola,340594
nada,338717
solo,337947
hace,334486
papa,323949
gusta,323736
parte,321364
pases,309940
linda,307935
compa,301021
felicidad,300292
pasen,297634
buenas,294069
junto,293656
foto,292965
nuestra,292560
ustedes,291391
hasta,291352
feliznavidad,291258
youtubers,281292
equipo,280335
coraz,278213
salud,272196
cosas,268165
alegr,266992
algo,265986
personas,260640
gratis,259985
nunca,257623
saludos,255410
grande,254857
lindo,251664
amigo,251318
premios,251295
pasado,242646
unas,241818
sorteo,240804
tiempo,239659
eres,239584
participa,238997
tener,237125
totalmente,232971
repartir,231323
santa,230567
mensaje,227824
menos,227002
disfrutar,224825
puedes,224373
despu,223595
esto,223213
sorteazo,221139
felicidades,219323
mucha,218491
igual,213983
nueva,211557
tengas,208653
estos,207551
diciembre,206875
pues,205214
tengan,203982
bendiga,203255
ganar,200314
queremos,199175
tiene,199130
tanto,198081
antes,197730
suerte,196579
hermoso,194870
donde,194832
creo,194818
vieja,192780
compartir,191180
sido,188982
primera,185826
fiesta,185112
llena,183590
ritu,181235
estamos,179967
pedido,179167
semana,178347
bonita,178047
querido,177858
vamos,175852
bonito,174256
verdad,174029
disfruta,171720
peque,171121
aunque,170939
nosotros,170207
excelente,169433
amiga,169046
madre,166357
cumplea,166230
momento,164129
poco,164048
juntos,163227
celebrar,162448
venezuela,162054
familias,161357
prospero,160978
tarde,159184
puede,158614
cimovodafone,157925
encanta,157218
trabajo,157078
regalar,156432
nico,155843
sobre,155027
fotos,154138
puedo,153035
tenemos,151708
igualmente,151664
esperamos,151476
espa,150266
entre,149411
otra,149301
beso,147927
pueblo,147282
much,145705
lado,145273
gust,145036
comida,144997
ayer,143634
decir,142988
sica,142872
extra,142023
ojal,141977
lleno,141415
jajaja,141346
genial,140985
paso,140960
pasando,140755
fuerte,140661
quien,139041
magia,138160
besos,137712
tienes,137672
usted,137587
cuenta,137540
rbol,135625
poder,134306
madrid,133754
super,133742
unos,133326
presidente,132909
ganas,132330
cari,131680
favor,130790
siento,129445
quer,129427
alguien,129066
viene,129013
esperanza,128813
hermano,128435
otro,128332
pase,128289
persona,128186
triste,127816
pido,127266
acompa,127081
seguidores,125981
noches,124804
mismo,124384
pasa,124094
disfruten,122830
saludo,122822
mando,121585
poca,120745
familiares,119036
happy,117410
bella,117050
nadie,116968
sabes,116904
regala,115598
mierda,115113
comer,114957
quieres,113462
ahre,113173
seguir,110678
momentos,110652
hecho,110578
fechas,110492
quiere,109271
casi,109165
hijo,109021
twitter,108441
primer,107801
abrazos,107674
hijos,107385
joyeux,106017
querida,105655
tienen,105653
sean,105559
podr,105376
enero,105131
merrychristmas,104732
domingo,104368
esperando,104096
dice,103420
pedir,103046
hemos,102633
dijo,102143
parece,101532
incre,101223
recibir,101134
simo,100859
nicolasmaduro,100733
chicos,99860
comprar,99545
nuestras,99028
importante,98728
seguro,97900
hora,97551
love,96444
desear,96110
historia,96035
iphone,96001
maduro,95537
dias,95037
horas,94971
salir,94599
tres,94353
llega,93420
tenido,93020
traiga,92847
corazones,92647
from,92099
durante,91982
ellos,91810
ella,91298
mesa,91138
hogar,90910
hayan,90469
desearles,89832
novio,89779
jajajaja,89589
jaja,89413
preciosa,88105
nacimiento,87581
padre,87103
abuela,85680
nica,85241
hermana,85135
lleg,85123
digo,85041
esos,84913
family,84875
haya,84580
rico,84519
hogares,84266
vacaciones,84092
hayas,83990
puta,83699
esas,83646
ilusi,83514
falta,83021
contigo,82855
haber,82626
lista,82577
saber,82360
natale,82296
juguetes,82199
estaba,81974
mientras,81942
manera,81911
mayor,81697
poner,81217
buon,81139
ximo,81021
sigue,80877
tuyos,80320
vivir,80311
mensajes,80177
dejo,79981
whatsapp,79942
familiar,79889
apoyo,79795
viendo,79734
hacen,79701
llene,79627
hizo,79417
vuestros,79099
todav,78647
sonrisa,78104
celebra,77887
llegar,77663
somos,77445
ltimo,77369
premio,77205
rayito,76454
tambien,76301
quienes,76065
forma,75525
haciendo,75243
queda,74751
volver,74570
cielo,74495
dormir,74375
entradas,74333
club,73988
tenga,73613
conmigo,73009
nadal,72718
amigas,72710
with,72259
natal,72234
weihnachten,71753
carta,71712
vosotros,71411
duda,71234
pronto,71138
dulce,70797
grandes,70790
mira,70548
desean,70376
venezolanos,70340
sigo,70158
prosperidad,69887
ropa,69653
dije,69404
cierto,69390
traigan,69152
fecha,69104
programa,68755
bado,68444
tendr,68205
disfrutando,68057
veces,67651
lugar,67474
tradici,67361
ciudad,67014
quieren,66927
libro,66866
garamond,66744
lejos,66692
culo,66497
info,66491
argentina,66472
realidad,66330
odio,66288
nombre,66208
padres,66057
cosa,65973
final,65577
caja,65224
directo,65104
alma,64863
ideas,64808
pueden,64795
visto,64589
real,64525
perd,64412
siendo,64277
dicen,64249
xico,64112
grupo,63916
vale,63857
dejar,63855
viernes,63852
recuerdo,63840
cara,63655
acerca,63653
gusto,63595
xmas,63544
perfecto,63490
hermanos,63403
hija,62651
empezar,62588
vaya,62494
luego,62362
deber,62257
cumple,62095
ojala,62019
toca,62002
felicitaciones,61713
estado,61206
dese,61163
cabalgata,60819
pesar,60776
fuera,60638
acabo,60604
vino,60403
fueron,60397
arbolito,60344
canci,60282
ltima,60267
maravillosa,60249
llegue,59843
planes,59721
badabunoficial,59548
felicitar,59163
claro,59050
armon,58813
llego,58694
llegada,58687
tardes,58481
jesus,58322
disfrutes,57940
mero,57868
compras,57751
juan,57610
diferente,57540
amos,57327
darle,57221
juego,56909
gustar,56896
idea,56871
posible,56750
this,56451
regalito,56449
mujer,56392
your,56348
oficial,56332
adem,56218
spera,56197
recuerda,55913
tras,55679
hice,55644
trav,55619
ntate,55495
estilo,55357
concierto,55318
pobre,55030
grinch,54979
viejo,54888
temporada,54866
celebrando,54739
anoche,54714
aqui,54544
novia,54343
cula,54242
deja,53994
bello,53954
pone,53942
celebramos,53932
cumplan,53890
cuerpo,53868
saben,53773
medio,53586
rica,53560
festejar,53394
noticias,53372
debe,53223
luces,53084
pedo,53053
sabe,52793
libros,52791
centro,52769
desearte,52702
clientes,52650
necesito,52562
libre,52460
canal,52373
camino,52353
seguimos,52306
chile,52197
siga,52056
viva,51921
entrada,51907
gala,51905
espera,51853
demasiado,51693
celebraci,51617
acaba,51602
gordo,51584
lunes,51433
hombre,51347
seria,51025
canciones,51003
mano,50677
tica,50613
otdirecto,50462
trabajar,50461
culas,50433
desearos,50420
regalaron,50312
simas,50203
pena,50191
nazca,50186
disponible,50138
xitos,50106
alguna,49977
reine,49910
enorme,49770
regal,49767
tienda,49758
eros,49726
dieron,49635
mama,49353
ense,49242
everyone,49005
recuerdos,48850
plan,48743
portado,48718
vemos,48617
gica,48534
importa,48420
dado,48330
opci,48327
primero,48324
